x,y,Street Address,Postcode,Charge Type
389927,805826,Hazlehead Crescent,AB15 8EX,Free
387232,805203,SAIN Aberdeen Countesswells,AB15 8NF,Free
386218,806402,PRIME FOUR,AB15 8PJ,Surcharging
386547,807349,Kingswells Avenue,AB15 8TG,Free
388120,802400,NORTH DEESIDE ROAD,AB15 9DB,Free
389411,803092,KIRK BRAE,AB15 9SQ,Free
389352,802933,NORTH DEESIDE ROAD,AB15 9SX,Free
389352,802933,NORTH DEESIDE ROAD,AB15 9SX,Free
389352,802933,NORTH DEESIDE ROAD,AB15 9SX,Free
389352,802933,North Deeside Road,AB15 9SX,Free
390322,807252,GREENFERN ROAD,AB16 5PY,Free
391439,807699,Cairncry Road,AB16 5UR,Free
390325,807198,GREENFERN PLACE,AB16 6JR,Surcharging
389289,807102,Unit Lewis Road,AB16 6TU,Free
391350,808181,MOIR CRESCENT,AB16 7DB,Surcharging
390465,808856,Heathryfold Circle,AB16 7DY,Free
391291,809096,North Anderson Drive,AB16 7GD,Surcharging
390294,808354,BYRON SQUARE,AB16 7LL,Free
390294,808354,BYRON SQUARE,AB16 7LL,Free
390294,808354,Byron Square,AB16 7LL,Free
390395,808683,Marchburn Drive,AB16 7NA,Surcharging
389894,808425,Lintmill Terrace,AB16 7SR,Surcharging
391443,808581,Clarke Street,AB16 7XJ,Surcharging
384608,824491,Argyll Road,AB21 0LU,Free
388557,819562,The Oldmeldrum Road,AB21 0PJ,Free
382964,812423,Main Street,AB21 0XN,Free
388632,812708,VICTORIA STREET,AB21 7AX,Free
388681,812449,VICTORIA STREET,AB21 7DX,Free
388681,812449,VICTORIA STREET,AB21 7DX,Free
389458,812640,River View Drive,AB21 7NG,Free
389458,812640,River View Drive,AB21 7NG,Free
388920,809940,Inverurie Road,AB21 9BB,Free
388723,809331,KEPPLEHILLS ROAD,AB21 9DH,Free
389832,809644,OLDMELDRUM ROAD,AB21 9DT,Free
389142,810358,Bankhead Road,AB21 9HQ,Free
389171,811243,Land at Stoneywood Road,AB21 9JS,Free
388768,809843,SCLATTIE PARK,AB21 9QR,Free
392602,809571,Crombie House Grandholm Crescent,AB22 8BD,Free
391223,809916,LAUREL DRIVE,AB22 8HB,Free
394056,810052,Scotsdown Road,AB22 8HH,Free
393321,810539,Braehead Way,AB22 8RR,Free
392774,811199,JESMOND DRIVE,AB22 8UR,Free
392721,811150,Jesmond Drive,AB22 8WQ,Free
392721,811150,Jesmond Drive,AB22 8WQ,Free
394683,811067,Ellon Road,AB23 8BA,Surcharging
394533,810230,ELLON ROAD,AB23 8BY,Free
394533,810230,ELLON ROAD,AB23 8BY,Free
394271,810085,North Donside Road,AB23 8PA,Free
396526,817184,Rowan Drive,AB23 8SW,Free
394249,808579,KINGS STREET,AB24 1SA,Free
394322,808829,King Street,AB24 1SD,Free
394274,808542,ST MACHAR DRIVE,AB24 1SN,Free
393850,809383,DON STREET,AB24 1WU,Free
393850,809383,"Unit A Central Building, Hillhead Student Village",AB24 1WU,Free
394575,809215,King Street,AB24 1XN,Free
394725,808345,& School Walk,AB24 1XX,Surcharging
392643,808839,GREAT NORTHERN ROAD,AB24 2AX,Free
392980,808469,GREAT NORTHERN ROAD,AB24 2BE,Free
391571,809058,Great Northern Road,AB24 2BT,Surcharging
392405,808890,GREAT NORTHERN ROAD,AB24 2EH,Free
393098,808999,HAYTON ROAD,AB24 2UY,Free
394116,807216,Mounthooly Way,AB24 3ER,Free
393529,807947,BEDFORD ROAD,AB24 3LP,Surcharging
393801,807732,Sunnybank Road,AB24 3NH,Free
393801,807732,Sunny Bank Road,AB24 3NH,Surcharging
393860,808414,ELPHINSTONE ROAD,AB24 3TU,Free
393436,807958,Bedford Avenue,AB24 3YR,Surcharging
392630,808450,CLIFTON ROAD,AB24 4HA,Free
391884,808079,ROSEHILL DRIVE,AB24 4JS,Free
391884,808079,ROSEHILL DRIVE,AB24 4JS,Free
391884,808079,Rosehill Drive,AB24 4JS,Free
391884,808079,Rosehill Drive,AB24 4JS,Free
391884,808079,Rosehill Drive,AB24 4JS,Free
394430,806643,/ King Street,AB24 5BB,Free
394430,806643,/ King Street,AB24 5BB,Free
394414,806804,KING STREET,AB24 5BH,Surcharging
394371,807114,KING STREET,AB24 5BJ,Surcharging
394326,806821,KING STREET,AB24 5DA,Free
395275,806671,Beach Boulevard,AB24 5ED,Surcharging
395275,806671,Beach Boulevard,AB24 5ED,Surcharging
395405,806546,"Daytona Exchange, Queens",AB24 5EN,Free
394990,806897,Unit Beach Boulevard Retail Park,AB24 5EZ,Free
394990,806897,Unit Beach Boulevard Retail Park,AB24 5EZ,Free
394729,806618,Beach Boulevard,AB24 5HD,Free
394581,806731,Summerfield Terrace,AB24 5JD,Free
394704,807120,Urquhart Road,AB24 5NB,Free
394105,806884,Gallowgate,AB25 1DT,Surcharging
393846,806746,GEORGE STREET,AB25 1ED,Free
393809,806804,George Street,AB25 1EP,Free
393831,806679,John Street,AB25 1LL,Free
393445,806458,ROSEMOUNT VIADUCT,AB25 1NX,Free
393279,806884,ROSEMOUNT TERRACE,AB25 2TG,Surcharging
392703,806491,Rosemount Place,AB25 2YB,Free
393171,806573,Rosemount Place,AB25 2YE,Free
393008,807052,CORNHILL ROAD,AB25 2ZH,Free
391789,807053,Forester Hill,AB25 2ZN,Free
391789,807053,Forester Hill,AB25 2ZN,Free
391789,807053,Forester Hill,AB25 2ZN,Free
392940,807597,ASHGROVE ROAD,AB25 3AD,Free
393202,807470,Berryden Retail Park Berryden Road,AB25 3SA,Free
393212,807360,UNIT CENTRE POINT,AB25 3SQ,Free
393212,807360,UNIT CENTRE POINT,AB25 3SQ,Free
392547,807775,Back Hilton Road,AB25 3SX,Free
393662,807091,George Street,AB25 3XH,Free
393555,807203,GEORGE STREET,AB25 3XX,Surcharging
371771,771483,HIGH STREET,AB30 1AA,Free
371932,771765,Aberdeen Road,AB30 1AG,Free
371587,771298,HIGH STREET,AB30 1BJ,Free
371270,770872,High Street,AB30 1BQ,Free
369985,780048,Drumochty Highland Games,AB30 1TP,Free
362467,801652,CRAIGOUR ROAD,AB31 4HE,Free
358489,804330,STATION SQUARE,AB31 4TE,Surcharging
371739,796758,HILL OF BANCHORY,AB31 5QA,Free
369555,795683,HIGH STREET,AB31 5SS,Free
369613,795710,High Street,AB31 5TJ,Free
370624,796308,TILLYBRAKE ROAD,AB31 5UN,Free
371049,796067,NORTH DEESIDE ROAD,AB31 5YR,Free
371049,796067,NORTH DEESIDE ROAD,AB31 5YR,Free
383268,807025,Old Skene Road,AB32 6RL,Free
382100,806538,Elrick Westhill,AB32 6TJ,Free
383239,806422,WESTHILL SHOPPING CENTRE,AB32 6UF,Free
383239,806422,ENDEAVOUR DRIVE,AB32 6UF,Free
357884,815745,Mart Road,AB33 8BZ,Free
357771,815894,Main Street,AB33 8PX,Free
348068,804375,THE SQUARE,AB34 4YL,Surcharging
348068,804375,The Square Tarland,AB34 4YL,Free
352824,798455,Old Mart Road,AB34 5HS,Free
352856,798618,CORNER HOUSE TEA ROOM & SHOP,AB34 5HT,Free
337091,795700,BRIDGE STREET,AB35 5QP,Free
336890,795766,Golf Road,AB35 5RE,Free
314965,791442,Mar Road,AB35 5YL,Free
327800,849218,SEAFIELD SQ,AB38 7AZ,Free
327779,849720,NORTH STREET,AB38 7BW,Free
326681,842971,High Street,AB38 9QB,Free
329074,844626,Hill Street Craigellachie,AB38 9TB,Free
387392,786216,David Street,AB39 2AL,Free
387392,785936,MARKET SQUARE,AB39 2BB,Free
387337,785868,EVAN STREET,AB39 2EQ,Free
387337,785868,Evan Street,AB39 2EQ,Free
386874,785951,Kirkton Road,AB39 2HQ,Free
387279,785653,Dunnottar Avenue,AB39 2JJ,Surcharging
387362,785898,MARKET SQUARE,AB39 2QE,Free
386330,785755,Brickfield Road,AB39 2WS,Surcharging
386089,786892,Redcloak Drive,AB39 2XJ,Free
390352,793180,NEWTON HILL ROAD,AB39 3NF,Free
385541,837470,Main Road,AB41 7DT,Surcharging
386755,831207,THE SQUARE,AB41 7GX,Free
389128,827448,Tarves Road,AB41 7NY,Free
394873,830640,Station Road,AB41 9AZ,Free
395027,830115,Provost Davidson Drive,AB41 9BQ,Free
395860,830502,THE SQUARE,AB41 9JB,Free
395860,830502,THE SQUARE,AB41 9JB,Free
397417,830820,CASTLE ROAD,AB41 9RY,Free
394287,830960,Esslemont Circle,AB41 9UF,Free
409178,836263,a Main Street Cruden Bay,AB42 0NA,Free
409178,836263,MAIN STREET,AB42 0NA,Surcharging
413357,846112,Marischal Street,AB42 1BS,Free
413463,846086,BROAD STREET,AB42 1BY,Free
413463,846086,BROAD STREET,AB42 1BY,Free
412761,846916,A HAY CRESCENT,AB42 1HH,Free
412761,846916,A HAY CRESCENT,AB42 1HH,Free
413318,846149,MARISCHAL STREET,AB42 1HS,Free
413318,846149,MARISCHAL STREET,AB42 1HS,Free
413397,846135,MARISCHAL STREET,AB42 1HU,Free
413478,846131,BROAD STREET,AB42 1JB,Free
413478,846131,BROAD STREET,AB42 1JB,Free
412729,847049,Ugie Road,AB42 1NR,Free
411785,846840,WINDMILL ROAD,AB42 1RG,Free
413330,846266,QUEEN STREET,AB42 1TS,Free
413330,846266,QUEEN STREET,AB42 1TS,Free
413330,846266,QUEEN STREET,AB42 1TS,Free
413282,846117,Marischal Street,AB42 1ZQ,Free
411551,845849,Kinmundy Road,AB42 2AE,Free
411525,845508,A BERRYDEN ROAD,AB42 2FF,Surcharging
411525,845508,Unit a Berryden Road,AB42 2FF,Free
412245,845855,CLERKHILL ROAD,AB42 2XE,Free
412245,845855,Clerkhill Road,AB42 2XE,Surcharging
